Quotation_ID,PO_ID,Supplier_ID,Supplier_Name,Supplier_Rating,Material_ID,Material_Name,Material_Qty,Quoted_UnitPrice,Delivery_Date,Additional_Conditions,Create_Datetime
Q001,PO-20549529,S188,Supplier_S188,4.4,M033,Vanillin,2000,1.26,30-06-2025,Special pricing for long-term contracts,11-06-25 17:01:28
Q002,PO-20832633,S188,Supplier_S188,4.4,M033,Vanillin,200,1.7,14-07-2025,Custom packaging available,18-06-25 23:43:28
Q003,PO-20604275,S190,Supplier_S190,3.9,M001,Sugar,2000,1.29,14-07-2025,Special pricing for long-term contracts,27-05-25 10:17:28
Q004,PO-20381233,S112,Supplier_S112,4.4,M007,Vegetable Oil,500,1.3,18-07-2025,Discount on next purchase,29-05-25 08:12:28
Q005,PO-20353422,S151,Supplier_S151,4.7,M002,Salt,500,1.52,22-07-2025,Discount on next purchase,31-05-25 09:46:28
Q006,PO-20825159,S188,Supplier_S188,4.4,M033,Vanillin,2000,1.99,17-07-2025,Delivery in reusable containers,22-06-25 15:06:28
Q007,PO-20232877,S093,Supplier_S093,4.1,M006,Corn,500,1.65,11-07-2025,Bulk Discount Available and payment within 30 days,29-05-25 16:34:28
Q008,PO-20930306,S061,Supplier_S061,4.5,M024,Ascorbic Acid,500,1.72,18-07-2025,Advance payment required,13-06-25 10:49:28
Q009,PO-20350033,S074,Supplier_S074,3.7,M013,Onion Powder,1000,1.24,09-07-2025,Custom packaging available,07-06-25 07:27:28
Q010,PO-20972909,S196,Supplier_S196,4.2,M042,Acetic Acid,2000,1.5,21-07-2025,Bulk Discount Available and payment within 30 days,07-06-25 21:07:28
Q011,PO-20421920,S024,Supplier_S024,4.3,M024,Ascorbic Acid,2000,1.37,18-07-2025,No returns accepted after 15 days,27-05-25 00:59:28
Q012,PO-20951781,S117,Supplier_S117,4.6,M013,Onion Powder,1000,1.23,12-07-2025,Advance payment required,16-06-25 11:56:28
Q013,PO-20583562,S112,Supplier_S112,4.4,M007,Vegetable Oil,200,1.69,12-07-2025,Custom packaging available,18-06-25 12:06:28
Q014,PO-20054822,S161,Supplier_S161,4.5,M003,Citric Acid,2000,1.69,20-07-2025,No returns accepted after 15 days,18-06-25 22:56:28
